"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
1.002253910E-1,-2.792358398E-3,4.481506348E-2,-2.639770508E-2,5.208671628E-2
1.052302740E-1,-1.220703125E-4,3.842163086E-2,-2.958679199E-2,4.849345192E-2
1.102351570E-1,4.135131836E-3,3.363037109E-2,-3.332519531E-2,4.752546494E-2
1.152400400E-1,9.460449219E-3,3.044128418E-2,-3.971862793E-2,5.092878642E-2
1.202449230E-1,1.638793945E-2,2.883911133E-2,-4.663085938E-2,5.722495913E-2
1.252498050E-1,1.957702637E-2,2.723693848E-2,-5.302429199E-2,6.274301810E-2
1.302546880E-1,2.171325684E-2,2.404785156E-2,-5.834960938E-2,6.674160323E-2
1.352900890E-1,2.436828613E-2,2.191162109E-2,-6.155395508E-2,6.973393646E-2
1.402949710E-1,2.703857422E-2,2.191162109E-2,-6.420898438E-2,7.303422012E-2
1.452998540E-1,2.757263184E-2,2.297973633E-2,-6.367492676E-2,7.309455934E-2
1.503047370E-1,2.597045898E-2,2.404785156E-2,-6.048583984E-2,7.008067299E-2
1.553401370E-1,2.330017090E-2,2.084350586E-2,-5.462646484E-2,6.293965651E-2
1.603450200E-1,2.278137207E-2,1.339721680E-2,-4.663085938E-2,5.359956509E-2
1.653499030E-1,2.171325684E-2,2.746582031E-3,-3.811645508E-2,4.395308161E-2
1.703547860E-1,2.224731445E-2,-1.057434082E-2,-2.853393555E-2,3.769542627E-2
1.753901860E-1,2.224731445E-2,-2.496337891E-2,-2.000427246E-2,3.896516654E-2
1.803950690E-1,2.278137207E-2,-3.987121582E-2,-1.148986816E-2,4.733626342E-2
1.853999520E-1,2.383422852E-2,-5.584716797E-2,-1.358032227E-3,6.073566391E-2
1.904353520E-1,2.490234375E-2,-7.128906250E-2,8.758544922E-3,7.601953213E-2
1.954402350E-1,2.490234375E-2,-8.621215820E-2,1.994323730E-2,9.192603364E-2
2.004451180E-1,2.224731445E-2,-9.899902344E-2,2.899169922E-2,1.055285187E-1
2.054805180E-1,1.850891113E-2,-1.107177734E-1,3.485107422E-2,1.175397912E-1
2.104854010E-1,1.211547852E-2,-1.219024658E-1,3.912353516E-2,1.285987830E-1
